path,mse,join_id,source,id,title,original_title,description,creator,date,condition,license,completeness
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_14-80.jpg,0.6886738538742065,Cutie/nr:14-80,tzigara,Cutie/nr:14-80,"Ansamblul Schitului Crasna(Poartă), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_8-75.jpg,1.193598747253418,Cutie/nr:8-75,tzigara,Cutie/nr:8-75,"Casa meşterului Antonie Mogoş(În varianta reinstalată la Muzeul de Etnografie şi Artă Naţională (Bucureşti)), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_1-49.jpg,0.4639036655426025,Cutie/nr:1-49,tzigara,Cutie/nr:1-49,"Biserica de lemn „Cuvioasa Paraschiva” din Ciuperceni(Imagine exterioară – vedere de ansamblu dinspre vest), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_1-66.jpg,1.0730661153793335,Cutie/nr:1-66,tzigara,Cutie/nr:1-66,"Cula din Pojogeni (dispărută)(Releveu – secţiune), desen",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_13-67.jpg,1.0395418405532837,Cutie/nr:13-67,tzigara,Cutie/nr:13-67,"Biserica de lemn „Sf Dumitru”, „Adormirea Maicii Domnului” din Corneşti(Imagine exterioară – vedere de ansamblu dinspre nord-vest), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_14-50.jpg,1.0470380783081057,Cutie/nr:14-50,tzigara,Cutie/nr:14-50,"Biserica „Adormirea Maicii Domnului” a Mănăstirii Polovragi(Imagine interioară – fragment din tabloul votiv), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_13-85.jpg,0.4352051019668579,Cutie/nr:13-85,tzigara,Cutie/nr:13-85,"Mănăstirea Lainici(Imagine din exteriorul ansamblului – vedere dinspre sud-vest), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_1-69.jpg,0.7474421262741089,Cutie/nr:1-69,tzigara,Cutie/nr:1-69,"Uliţă(Imagine), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_8-77.jpg,0.9234683513641356,Cutie/nr:8-77,tzigara,Cutie/nr:8-77,"Casa meşterului Antonie Mogoş(Releveu – plan), desen",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_1-70.jpg,0.6777544021606445,Cutie/nr:1-70,tzigara,Cutie/nr:1-70,"Poartă ţărănească(Imagine din afara gospodăriei – vedere frontală), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_13-87.jpg,0.8557303547859192,Cutie/nr:13-87,tzigara,Cutie/nr:13-87,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud-vest), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_13-83.jpg,1.0678930282592771,Cutie/nr:13-83,tzigara,Cutie/nr:13-83,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere de ansamblu dinspre sud-vest), fotografie",,,,,,,0.14285714285714285
~/Documents/My Projects/Things to Do/project 6/new dataset/data/tzigara/images/Cutie_nr_8-84.jpg,0.9934449195861816,Cutie/nr:8-84,tzigara,Cutie/nr:8-84,"Cula din Groşerea(Imagine exterioară), fotografie",,,,,,,0.14285714285714285
